county,stname,ctyname,variable,value,year.label
033,Maryland,Prince George's County,npopchg_2014,9106,2014
035,Maryland,Queen Anne's County,npopchg_2014,266,2014
037,Maryland,St. Mary's County,npopchg_2014,698,2014
039,Maryland,Somerset County,npopchg_2014,-383,2014
041,Maryland,Talbot County,npopchg_2014,-369,2014
043,Maryland,Washington County,npopchg_2014,66,2014
045,Maryland,Wicomico County,npopchg_2014,518,2014
047,Maryland,Worcester County,npopchg_2014,22,2014
510,Maryland,Baltimore city,npopchg_2014,668,2014
000,Maryland,Maryland,npopchg_2015,28552,2015
001,Maryland,Allegany County,npopchg_2015,-545,2015
003,Maryland,Anne Arundel County,npopchg_2015,3811,2015
005,Maryland,Baltimore County,npopchg_2015,2465,2015
009,Maryland,Calvert County,npopchg_2015,-77,2015
011,Maryland,Caroline County,npopchg_2015,56,2015
013,Maryland,Carroll County,npopchg_2015,-184,2015
015,Maryland,Cecil County,npopchg_2015,217,2015
017,Maryland,Charles County,npopchg_2015,1319,2015
019,Maryland,Dorchester County,npopchg_2015,-91,2015
021,Maryland,Frederick County,npopchg_2015,1697,2015
023,Maryland,Garrett County,npopchg_2015,-214,2015
025,Maryland,Harford County,npopchg_2015,259,2015
027,Maryland,Howard County,npopchg_2015,4451,2015
029,Maryland,Kent County,npopchg_2015,-58,2015
031,Maryland,Montgomery County,npopchg_2015,8377,2015
033,Maryland,Prince George's County,npopchg_2015,6514,2015
035,Maryland,Queen Anne's County,npopchg_2015,198,2015
037,Maryland,St. Mary's County,npopchg_2015,1039,2015
039,Maryland,Somerset County,npopchg_2015,107,2015
041,Maryland,Talbot County,npopchg_2015,-115,2015
043,Maryland,Washington County,npopchg_2015,56,2015
045,Maryland,Wicomico County,npopchg_2015,432,2015
047,Maryland,Worcester County,npopchg_2015,-147,2015
510,Maryland,Baltimore city,npopchg_2015,-1015,2015
000,Maryland,Maryland,npopchg_2016,17975,2016
001,Maryland,Allegany County,npopchg_2016,-407,2016
003,Maryland,Anne Arundel County,npopchg_2016,4163,2016
005,Maryland,Baltimore County,npopchg_2016,1145,2016
009,Maryland,Calvert County,npopchg_2016,560,2016
011,Maryland,Caroline County,npopchg_2016,245,2016
013,Maryland,Carroll County,npopchg_2016,-23,2016
015,Maryland,Cecil County,npopchg_2016,149,2016
017,Maryland,Charles County,npopchg_2016,1644,2016
019,Maryland,Dorchester County,npopchg_2016,-143,2016
021,Maryland,Frederick County,npopchg_2016,2110,2016
023,Maryland,Garrett County,npopchg_2016,-64,2016
025,Maryland,Harford County,npopchg_2016,772,2016
027,Maryland,Howard County,npopchg_2016,4170,2016
029,Maryland,Kent County,npopchg_2016,-51,2016
031,Maryland,Montgomery County,npopchg_2016,6251,2016
033,Maryland,Prince George's County,npopchg_2016,2202,2016
035,Maryland,Queen Anne's County,npopchg_2016,83,2016
037,Maryland,St. Mary's County,npopchg_2016,724,2016
039,Maryland,Somerset County,npopchg_2016,153,2016
041,Maryland,Talbot County,npopchg_2016,-291,2016
043,Maryland,Washington County,npopchg_2016,549,2016
045,Maryland,Wicomico County,npopchg_2016,336,2016
047,Maryland,Worcester County,npopchg_2016,-1,2016
510,Maryland,Baltimore city,npopchg_2016,-6301,2016
000,Maryland,Maryland,npopchg_2017,20199,2017
001,Maryland,Allegany County,npopchg_2017,-669,2017
003,Maryland,Anne Arundel County,npopchg_2017,3927,2017
005,Maryland,Baltimore County,npopchg_2017,-13,2017
009,Maryland,Calvert County,npopchg_2017,337,2017
011,Maryland,Caroline County,npopchg_2017,272,2017
013,Maryland,Carroll County,npopchg_2017,510,2017
015,Maryland,Cecil County,npopchg_2017,6,2017
017,Maryland,Charles County,npopchg_2017,2115,2017
019,Maryland,Dorchester County,npopchg_2017,-116,2017
021,Maryland,Frederick County,npopchg_2017,3735,2017
023,Maryland,Garrett County,npopchg_2017,-110,2017
025,Maryland,Harford County,npopchg_2017,1529,2017
027,Maryland,Howard County,npopchg_2017,3755,2017
029,Maryland,Kent County,npopchg_2017,-225,2017
031,Maryland,Montgomery County,npopchg_2017,7999,2017
033,Maryland,Prince George's County,npopchg_2017,862,2017
035,Maryland,Queen Anne's County,npopchg_2017,593,2017
037,Maryland,St. Mary's County,npopchg_2017,724,2017
039,Maryland,Somerset County,npopchg_2017,76,2017
041,Maryland,Talbot County,npopchg_2017,-103,2017
043,Maryland,Washington County,npopchg_2017,623,2017
045,Maryland,Wicomico County,npopchg_2017,227,2017
047,Maryland,Worcester County,npopchg_2017,153,2017
510,Maryland,Baltimore city,npopchg_2017,-6008,2017
000,Maryland,Maryland,npopchg_2018,17827,2018
001,Maryland,Allegany County,npopchg_2018,-411,2018
003,Maryland,Anne Arundel County,npopchg_2018,4439,2018
005,Maryland,Baltimore County,npopchg_2018,-172,2018
009,Maryland,Calvert County,npopchg_2018,638,2018
011,Maryland,Caroline County,npopchg_2018,196,2018
013,Maryland,Carroll County,npopchg_2018,809,2018
015,Maryland,Cecil County,npopchg_2018,253,2018
017,Maryland,Charles County,npopchg_2018,2052,2018
019,Maryland,Dorchester County,npopchg_2018,-147,2018
021,Maryland,Frederick County,npopchg_2018,4689,2018
023,Maryland,Garrett County,npopchg_2018,-98,2018
025,Maryland,Harford County,npopchg_2018,2066,2018
027,Maryland,Howard County,npopchg_2018,3822,2018
029,Maryland,Kent County,npopchg_2018,-54,2018
031,Maryland,Montgomery County,npopchg_2018,4323,2018
033,Maryland,Prince George's County,npopchg_2018,507,2018
035,Maryland,Queen Anne's County,npopchg_2018,584,2018
037,Maryland,St. Mary's County,npopchg_2018,251,2018
039,Maryland,Somerset County,npopchg_2018,-238,2018
041,Maryland,Talbot County,npopchg_2018,-52,2018
043,Maryland,Washington County,npopchg_2018,638,2018
045,Maryland,Wicomico County,npopchg_2018,832,2018
047,Maryland,Worcester County,npopchg_2018,246,2018
510,Maryland,Baltimore city,npopchg_2018,-7346,2018
000,Maryland,Maryland,births2010,18454,2010
001,Maryland,Allegany County,births2010,193,2010
003,Maryland,Anne Arundel County,births2010,1811,2010
005,Maryland,Baltimore County,births2010,2409,2010
009,Maryland,Calvert County,births2010,234,2010
011,Maryland,Caroline County,births2010,100,2010
013,Maryland,Carroll County,births2010,410,2010
015,Maryland,Cecil County,births2010,298,2010
017,Maryland,Charles County,births2010,441,2010
019,Maryland,Dorchester County,births2010,81,2010
021,Maryland,Frederick County,births2010,711,2010
023,Maryland,Garrett County,births2010,70,2010
025,Maryland,Harford County,births2010,683,2010
027,Maryland,Howard County,births2010,912,2010
029,Maryland,Kent County,births2010,41,2010
031,Maryland,Montgomery County,births2010,3421,2010
033,Maryland,Prince George's County,births2010,3016,2010
035,Maryland,Queen Anne's County,births2010,115,2010
037,Maryland,St. Mary's County,births2010,364,2010
039,Maryland,Somerset County,births2010,65,2010
041,Maryland,Talbot County,births2010,92,2010
043,Maryland,Washington County,births2010,426,2010
045,Maryland,Wicomico County,births2010,327,2010
